new_id,quitnow,age,gender,teamrelationship,jobsatisfaction,managerrelationship,tenure,relativepay,deniedpromotion,seniorityrank,mainperformancemetric,noofchildren,variable1,variable2,variable3,variable4,variable5,variable6,variable7,variable8,variable9,variable10,variable11,variable12,variable13,variable14,variable15,variable16,variable17,variable18,variable19,variable20,variable21,variable22,variable23,variable24,variable25,variable26,variable27,variable28,variable29,variable30,variable31,variable32,variable33,variable34,variable35,variable36,variable37,variable38,variable39,variable40,variable41,variable42,variable43,variable44,variable45,variable46,variable47,variable48,variable49,variable50,variable51,variable52,variable53,variable54,latedaysscore,latedays,sickdaysscore,sickdays,projectsrefusedscore,projectsrefused,hrpolicycheckscore,hrpolicycheck,linkedinupdatescore,linkedinupdate,linkedinminutesscore,linkedinminutes,twitterminutesscore,twitterminutes,facebookminutesscore,facebookminutes,instagramminutesscore,instagramminutes,careersearches,linkedinposts,facebookpostsscore,facebookposts,instagrampostsscore,instagramposts,twitterpostsscore,twitterposts,emailswearscore,emailswear,colemailtimescore,colemailtime,supemailtimescore,emailtime,cliemailtimescore,cliemailtime,emailothdeptscore,emailothdept,emailfromothdeptscore,emailfromothdept,zoomcallsscore,zoomcalls,dropzoomcalls,dropzoomcall
1,0,36,1,1.0434242,7,8,7,1.0693491,0,3,4,0,.76938689,.40012151,1.0693872,.3666288,.81329954,1.2997643,1.042025,.51158178,1.2972801,.30724674,.71379781,1.0997082,.61780638,.43315202,1.3260744,.19720015,.42550674,.89838684,1.3765324,.81247556,.79445517,.8672244,.18291354,1.1031007,1.1367331,.70022035,.14239556,.31400794,.94941133,.77042091,.44873634,.16547629,-.31561729,.76888138,1.0631196,-.29102254,.80547327,1.1976485,.66083127,.74401414,.80980891,1.1611764,.87586564,.90037787,-.49951437,-.061939683,.39643979,.31735879,.87950861,.61589086,1.5633894,1.1272211,.95910227,.2065293,-.83782697,0,-.22468318,0,-.2292235,0,-.9044795,0,-1.6806481,0,-1.4934599,0,1.4679661,979,-.67285311,0,.97825903,1584,-1.9421498,0,.91865855,2,.24661829,1,.78313643,3,2.5396445,10,-.82385159,203,-1.7331706,5,.27982312,8,2.8047016,28,1.7337369,17,.379915,8,-.5286566,0
2,0,34,1,1.4774677,7,7,5,1.0058796,0,3,5,0,.40195873,.036899377,.48175105,.64928997,.45108703,.41224223,.30953342,.39067566,.13655262,.094344556,.57350016,.43170932,.48692113,.44982719,.68965417,.53693789,.36487263,-.023814308,.40841889,.32282266,.71531707,.4005616,.41673759,.47648746,.53389156,.57875645,.43728095,.24044952,.30438283,.63324767,.52264625,.51382148,.12733674,.28416154,.65095502,.14492691,.19119869,.20585778,.38418347,.71264064,.36244774,.627873,.54664224,.42557064,.088022508,.5486272,-.003821604,.33288303,.40849319,.39380276,.36141738,.47661275,.31474286,.64648974,-1.3585248,0,-1.0323339,0,-1.434935,0,-1.6200576,0,-1.1576569,0,-3.3127527,0,-1.8403039,0,-1.0581343,0,.21843706,354,-1.8863319,0,.85745859,2,.66464192,3,.32613748,1,2.5139618,10,-1.7949969,201,-2.6588624,5,-1.5753342,8,1.9296243,19,1.8468343,18,.38231516,8,-1.2401035,0
3,0,34,1,1.0901653,1,4,4,.82708806,0,1,3,0,.26009911,1.269127,.55045611,.22183475,1.5216645,1.2966553,1.1919177,.96678722,.68707633,1.0035955,.87218571,1.3262042,.57993454,.81203908,.6295079,.70038313,1.7983383,1.0781379,1.6034721,1.22155,.63996804,.70353305,.98341787,.54629129,.93375009,.32451415,.30830821,1.0001954,1.5462402,.66744912,.95475656,.90057462,.42304674,.82194304,-.14021629,.59029627,1.386824,.77518821,.39698836,1.9182801,.54947752,.77441591,.7513988,.061873101,1.4043998,.42799982,.933155,.5867123,1.263924,1.1483513,.54720551,.31760707,.48463452,2.0486326,-1.766083,0,-.34062198,0,2.1110375,11,.14915121,0,-.41170296,0,.8258568,308,2.2115853,1475,-.2771872,0,1.0274984,1664,-.35941982,0,.8923862,2,1.2383803,5,.39739141,2,1.7791191,7,.73886049,142,2.8359447,170,-1.1699598,8,2.5089192,25,2.5841129,26,.80531245,16,.33027178,10
4,0,27,1,1.2866195,7,9,0,1.1201299,0,1,3,0,.93603641,.51590848,1.2473292,.67233908,.61136001,1.3952131,1.4594791,.84933788,.1186692,.41904658,.888147,-.19059242,1.1291888,.36418864,.29214275,.50503033,.10773441,.53659308,.68557203,1.2616014,1.1904373,.77754253,.84880525,.99764645,.81684685,1.8031241,1.0045674,1.1077163,2.3213623,1.5257661,1.4722509,1.3307316,1.0095485,.52736515,.11231414,.94690716,1.7602186,1.1569333,.56573009,.62107986,.96646816,.59524506,.57131779,1.7493792,1.048061,.72597915,.81589496,1.4709381,1.4734087,.99239373,1.274712,1.3508645,.037525788,.92146415,-2.4791498,0,-.66033965,0,-1.4325104,0,-1.6252358,0,-1.0885575,0,.99877256,373,-2.7734187,0,-.81900424,0,1.0641519,1723,1.3988341,3,1.073265,2,.40674505,2,.73979127,3,1.9524949,8,-.076387942,156,-1.7815307,5,-1.1509969,8,3.1457109,31,2.3679202,24,.58036661,12,-.93014157,0
5,0,40,0,1.0698589,6,5,11,1.3919636,0,3,4,0,.73705637,.44633007,.9192344,.27333197,.43136111,.80615079,.97712868,.46849275,1.0067365,.72162271,.87581718,1.1401381,.801498,.75182462,.61319226,.66798258,1.2237501,.84148252,.57637888,1.3043033,.42871648,.34266102,.97970814,1.4018521,1.1322036,-.27564472,.49945012,.69416976,.63308024,.41044062,1.4041501,.39182717,.28891057,1.4693035,.65505087,1.1205304,.5735296,1.2212932,.93414235,.68386126,1.0738555,.84410948,.45388243,.41928425,.76524526,.93349034,.67897743,-.070173919,.97149336,.77035135,.4081625,.070020296,.62658203,.85725778,-.60603911,0,-1.0775456,0,.56092358,3,-.70853466,0,-.59873974,0,.71510804,267,-.52786332,0,-.91925186,0,.3090122,500,-.35866556,0,.15595075,0,.6798116,3,.24091505,1,1.9773054,8,-.059199404,158,.045757599,3,-1.6661144,8,2.6859343,27,2.8842921,29,1.0048044,20,.094874918,3
6,0,32,1,1.1749368,7,7,3,1.0361733,0,2,4,0,.23155366,.30543137,.88334548,.51378703,.82229978,.35458463,.52277112,.43046087,.4966138,.60197133,.40864986,.79783028,.46147412,.93850833,.86049575,.73396146,.51880723,.48310623,1.0084676,.47448391,.77445453,.38363993,.63259757,.53901464,.58904785,.31519368,.37888804,.12119173,.66064966,.67892104,.31758741,.71526045,.77579951,.78592175,.54559743,.38866976,.57615793,.73213619,.67348808,.70446223,.54493648,.24612533,.20524588,.24538387,.67617488,.54102564,1.1258404,.54652339,.49057829,.89335835,.32982716,.50732756,.64151901,.18783976,-2.0428867,0,-2.5231078,0,.18526404,1,-1.1757101,0,-1.1956927,0,-.44471443,0,-1.3714259,0,-1.6229986,0,.37213546,602,-1.242489,0,.19472596,0,.49582976,2,.2791962,1,1.9787761,8,-1.0969249,158,-1.8503176,5,-1.4787728,8,3.3159869,33,2.7684145,28,.50340384,10,-1.8580871,0
7,1,33,0,1.2858262,7,4,4,1.2162741,1,2,3,0,.89267647,.76230878,1.1731095,.89016932,.52342951,.49257192,.22069527,.5591445,.038102794,.89882416,.56758857,.9333939,1.084344,.33536154,.92953008,1.5405276,1.3707817,1.3978331,.8269242,.36775228,.62617987,.92392647,.92508483,.64538175,1.0674053,.49399802,.44361696,.7213636,.89440274,1.0021896,.74733603,.30015177,.57811463,.16027685,.17646842,.75502014,-.33905524,.49036458,.60924345,.38097805,.70360684,.67527384,.66767597,.33552778,.52545488,.68394214,1.1929286,.69634312,1.2787845,.84470218,.69345933,.7567814,1.1979331,.45654535,-.59293443,0,.29858094,1,1.7000656,9,.32729492,1,.4889451,1,3.132174,1168,2.0094714,1340,.41864979,227,-.30777091,0,.45093554,1,1.0814604,2,.95702332,4,1.0673187,4,1.0329813,4,-.34389269,83,1.4506342,87,-1.0186996,8,1.9332763,19,1.4308115,14,.71656805,14,-.64011866,0
8,1,37,0,1.2132099,6,2,8,1.1158785,0,2,4,0,.51920635,-.47901824,.58597976,1.1654789,1.0676589,.78073519,1.077898,1.056494,.81199592,.50227255,.97416329,.45205766,.79767352,.52983421,1.7581003,.90668184,1.2391368,.63993037,.85200042,1.2788953,.86478513,.5254122,.52852452,.80047208,.65337026,.5656634,.72704101,.29430822,.26114157,-.5317626,.76174194,.45803687,1.2420878,1.6044549,1.2430699,1.0872453,1.5146983,.87452966,.34179351,.90232098,.30651674,.83324993,.9916929,.93411016,1.0166081,.78041768,.93145704,1.6577924,.37458152,.40303868,1.3069725,.60070556,1.323431,.8986091,.088747382,0,.36491832,2,1.3045675,7,1.2459605,4,.62595457,1,2.7521565,1027,1.2014621,801,.39137658,212,.87769109,1421,.46621677,1,1.2408003,2,1.4556698,6,.69551045,3,2.9858789,12,-1.8260025,239,-.64266658,5,-.053450968,8,1.2149734,12,1.266888,13,.12000731,2,.49368301,2
9,0,40,0,1.3806571,8,6,12,1.3554333,0,3,6,0,.76149881,1.1255053,1.0420848,1.4255948,.93158418,.65008247,.56195533,.5257684,-.18923421,.95336068,.36878416,.30135769,2.1673114,1.1497073,.77979499,1.0199351,.43661499,1.4125562,.6781131,1.1418494,-.31076139,.92575943,1.2353925,1.4274831,1.8538415,1.4234253,.062540472,1.4912182,.58740234,1.5866629,.79577303,.79048127,1.5012634,1.4527812,.70603997,1.1074301,.63190848,.88814563,1.1026962,1.5824782,.65355706,1.7870935,1.0072488,.746319,1.1047632,.30182552,1.0032409,.37041509,.51885539,.6214965,.84868169,.42920345,.067998901,.62000257,-.69910735,0,.75261581,4,1.7948741,9,-.38851833,0,-1.3559926,0,-1.1566917,0,-1.720583,0,.72807014,395,.7306906,1183,-.064667374,0,1.8087897,4,.93565267,4,.75112993,3,2.9044836,12,-.18014342,232,.10355473,6,-1.9570327,8,2.0256588,20,2.1348262,21,1.2916522,26,-1.6915609,0
10,0,30,0,1.2103781,8,5,3,1.2999287,0,1,4,0,.34118605,.40368891,.39084682,.67265618,.36027396,.39611888,.3643195,.43392527,.39252642,.82305145,-.10942089,.12271407,.43684965,.75076264,.40245891,.49463847,.52298832,.50815058,.17009975,.24424025,.66506732,.44801012,.50965375,.19922192,.67372346,.31210566,.52594739,.22698715,.4922094,.63176948,-.073327675,.37712711,.23332839,.34800923,.31304982,.027458211,.36664847,.5541802,.40826693,.17949024,.12720713,.19933152,.17319119,.1753682,.3956694,.29319069,.35002095,.28458431,.048514925,.71250159,.28140607,.41921619,.25093994,.22868152,-1.7492723,0,.24564052,1,-2.0407035,0,-.29848459,0,-.77295989,0,-.32819065,0,.69369513,463,-1.0090259,0,.21052378,341,.012509951,0,.56572062,1,.35364637,1,.087500148,0,1.5848656,6,.582205,127,-1.835678,5,-1.400656,8,1.6185063,16,2.9521458,30,.70225835,14,-1.4094738,0
